分录行号,日期,会计年度,期间,凭证字,凭证号,摘要,科目编码,科目全名,币别,原币金额,借方金额,贷方金额,制单,审核,过账,出纳,附件数,来源系统,业务类型,审核状态,作废状态
1,2024/1/12,"2,024",1,记,22,付聚丙烯款/广州润辉/发票号029776,2202.03,应付账款_材料供应商,人民币,"¥280,000.00","¥280,000.00",,方晓淮,梁映婵,梁映婵,,0,出纳管理,付款单,已审核,未作废
2,,,,,,付聚丙烯款/广州润辉/发票号029776,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥280,000.00",,"¥280,000.00",,,,,,,,,
1,2024/1/12,"2,024",1,记,23,付镀锌板款/上海元助/发票号328407,2202.03,应付账款_材料供应商,人民币,"¥2,000.00","¥2,000.00",,方晓淮,梁映婵,梁映婵,,0,出纳管理,付款单,已审核,未作废
2,,,,,,付镀锌板款/上海元助/发票号328407,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥2,000.00",,"¥2,000.00",,,,,,,,,
1,2024/1/12,"2,024",1,记,24,进口耐候膜进口增值税/税号NO.531620231160099464-L02/广州海关,2221.01.01.02,应交税费_应交增值税_进项税额_海关代征,人民币,"¥115,578.08","¥115,578.08",,方晓淮,梁映婵,梁映婵,,0,发票管理,进项费用普通发票,已审核,未作废
2,,,,,,进口耐候膜进口增值税/税号NO.531620231160099464-L02/广州海关,2202.05,应付账款_其他服务供应商,人民币,"¥115,578.08",,"¥115,578.08",,,,,,,,,
1,2024/1/12,"2,024",1,记,25,付报关费/运费/广州海赢,2202.05,应付账款_其他服务供应商,人民币,"¥4,502.23","¥4,502.23",,方晓淮,梁映婵,梁映婵,,0,出纳管理,付款单,已审核,未作废
2,,,,,,付报关费/运费/广州海赢,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥4,502.23",,"¥4,502.23",,,,,,,,,
1,2024/1/12,"2,024",1,记,26,预付马弗炉配件款/单号2101406,2202.07,应付账款_低值易耗品供应商,人民币,"¥1,505.00","¥1,505.00",,方晓淮,梁映婵,梁映婵,,0,出纳管理,付款单,已审核,未作废
2,,,,,,预付马弗炉配件款/单号2101406,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥1,505.00",,"¥1,505.00",,,,,,,,,
1,2024/1/15,"2,024",1,记,27,收到货款/上海上化院天乐实业有限公司,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥58,500.00","¥58,500.00",,方晓淮,梁映婵,梁映婵,,0,出纳管理,收款单,已审核,未作废
2,,,,,,收到货款/上海上化院天乐实业有限公司,1122,应收账款,人民币,"¥58,500.00",,"¥58,500.00",,,,,,,,,
1,2024/1/15,"2,024",1,记,28,收到货款/福建赛特冷链科技有限公司,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥58,694.00","¥58,694.00",,方晓淮,梁映婵,梁映婵,,0,出纳管理,收款单,已审核,未作废
2,,,,,,收到货款/福建赛特冷链科技有限公司,1122,应收账款,人民币,"¥58,694.00",,"¥58,694.00",,,,,,,,,
1,2024/1/17,"2,024",1,记,29,收到货款/广州金发碳纤维新材料发展有限公司,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥9,814,142.82","¥9,814,142.82",,方晓淮,梁映婵,梁映婵,,0,出纳管理,收款单,已审核,未作废
2,,,,,,收到货款/广州金发碳纤维新材料发展有限公司,1122,应收账款,人民币,"¥9,814,142.82",,"¥9,814,142.82",,,,,,,,,
1,2024/1/17,"2,024",1,记,30,付低压动力开关款/发票号29096913/广东荣顺,2202.04,应付账款_固定资产供应商,人民币,"¥30,000.00","¥30,000.00",,方晓淮,梁映婵,梁映婵,,0,出纳管理,付款单,已审核,未作废
2,,,,,,付低压动力开关款/发票号29096913/广东荣顺,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥30,000.00",,"¥30,000.00",,,,,,,,,
1,2024/1/18,"2,024",1,记,31,预付层压机废气收集项目款（预付30%）/单号2101363/广州尚洁,2202.04,应付账款_固定资产供应商,人民币,"¥39,000.00","¥39,000.00",,方晓淮,梁映婵,梁映婵,,0,出纳管理,付款单,已审核,未作废
2,,,,,,预付层压机废气收集项目款（预付30%）/单号2101363/广州尚洁,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥39,000.00",,"¥39,000.00",,,,,,,,,
1,2024/1/18,"2,024",1,记,32,付润滑剂款/发票号17219450/珠海金发,2202.03,应付账款_材料供应商,人民币,"¥41,682.32","¥41,682.32",,方晓淮,梁映婵,梁映婵,,0,出纳管理,付款单,已审核,未作废
2,,,,,,付润滑剂款/发票号17219450/珠海金发,2202.03,应付账款_材料供应商,人民币,"¥49,817.68","¥49,817.68",,,,,,,,,,
3,,,,,,付润滑剂款/发票号17219450/珠海金发,1121.01,应收票据_银行承兑汇票,人民币,"¥41,682.32",,"¥41,682.32",,,,,,,,,
4,,,,,,付润滑剂款/发票号17219450/珠海金发,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥49,817.68",,"¥49,817.68",,,,,,,,,
1,2024/1/18,"2,024",1,记,33,收到货款/浙江泓智新材料有限公司,1121.01,应收票据_银行承兑汇票,人民币,"¥1,000,000.00","¥1,000,000.00",,方晓淮,梁映婵,梁映婵,,0,出纳管理,收款单,已审核,未作废
2,,,,,,收到货款/浙江泓智新材料有限公司,1122,应收账款,人民币,"¥1,000,000.00",,"¥1,000,000.00",,,,,,,,,
1,2024/1/18,"2,024",1,记,34,预付进口1.8米压机前后端款(已付60%)/单号21007751/广东绿肯,2202.04,应付账款_固定资产供应商,人民币,"¥219,000.00","¥219,000.00",,方晓淮,梁映婵,梁映婵,,0,出纳管理,付款单,已审核,未作废
2,,,,,,预付进口1.8米压机前后端款(已付60%)/单号21007751/广东绿肯,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥219,000.00",,"¥219,000.00",,,,,,,,,
1,2024/1/18,"2,024",1,记,35,项目名称：留组团614车间废气治理项目二期/发票号05293782/广州尚洁,1801,长期待摊费用,人民币,"¥148,623.85","¥148,623.85",,方晓淮,梁映婵,梁映婵,,0,发票管理,进项费用增值税发票,已审核,未作废
2,,,,,,项目名称：留组团614车间废气治理项目二期/发票号05293782/广州尚洁,2221.01.01.01,应交税费_应交增值税_进项税额_增值税发票,人民币,"¥13,376.15","¥13,376.15",,,,,,,,,,
3,,,,,,项目名称：留组团614车间废气治理项目二期/发票号05293782/广州尚洁,2202.04,应付账款_固定资产供应商,人民币,"¥162,000.00",,"¥162,000.00",,,,,,,,,
1,2024/1/18,"2,024",1,记,36,付留组团614车间废气治理项目二期款/发票号05293782/广州尚洁,2202.04,应付账款_固定资产供应商,人民币,"¥162,000.00","¥162,000.00",,方晓淮,梁映婵,梁映婵,,0,出纳管理,付款单,已审核,未作废
2,,,,,,付留组团614车间废气治理项目二期款/发票号05293782/广州尚洁,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥162,000.00",,"¥162,000.00",,,,,,,,,
1,2024/1/18,"2,024",1,记,37,购自动翻板机/发票号05788165/南京帝鼎,1601,固定资产,人民币,"¥110,619.47","¥110,619.47",,方晓淮,梁映婵,梁映婵,,0,发票管理,进项费用增值税发票,已审核,未作废
2,,,,,,购自动翻板机/发票号05788165/南京帝鼎,2221.01.01.01,应交税费_应交增值税_进项税额_增值税发票,人民币,"¥14,380.53","¥14,380.53",,,,,,,,,,
3,,,,,,购自动翻板机/发票号05788165/南京帝鼎,2202.04,应付账款_固定资产供应商,人民币,"¥125,000.00",,"¥125,000.00",,,,,,,,,
1,2024/1/18,"2,024",1,记,38,付自动翻板机款（已付90%）/发票号05788165/南京帝鼎,2202.04,应付账款_固定资产供应商,人民币,"¥50,000.00","¥50,000.00",,方晓淮,梁映婵,梁映婵,,0,出纳管理,付款单,已审核,未作废
2,,,,,,付自动翻板机款（已付90%）/发票号05788165/南京帝鼎,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥50,000.00",,"¥50,000.00",,,,,,,,,
1,2024/1/18,"2,024",1,记,39,购底护板模压项目配件/项目号KFCK-GZ-20220729-01/清远汇友,1604.02,在建工程_底护板模压专线,人民币,¥991.15,¥991.15,,方晓淮,梁映婵,梁映婵,,0,发票管理,进项费用增值税发票,已审核,未作废
2,,,,,,购底护板模压项目配件/项目号KFCK-GZ-20220729-01/清远汇友,2221.01.01.01,应交税费_应交增值税_进项税额_增值税发票,人民币,¥128.85,¥128.85,,,,,,,,,,
3,,,,,,购底护板模压项目配件/项目号KFCK-GZ-20220729-01/清远汇友,2202.07,应付账款_低值易耗品供应商,人民币,"¥1,120.00",,"¥1,120.00",,,,,,,,,
1,2024/1/18,"2,024",1,记,40,付底护板模压项目配件款/项目号KFCK-GZ-20220729-01/清远汇友,2202.07,应付账款_低值易耗品供应商,人民币,"¥1,120.00","¥1,120.00",,方晓淮,梁映婵,梁映婵,,0,出纳管理,付款单,已审核,未作废
2,,,,,,付底护板模压项目配件款/项目号KFCK-GZ-20220729-01/清远汇友,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥1,120.00",,"¥1,120.00",,,,,,,,,
1,2024/1/18,"2,024",1,记,41,车位标识画线/指示牌安装/清远荣晟,6602.21,管理费用_安全费,人民币,"¥3,990.00","¥3,990.00",,方晓淮,梁映婵,梁映婵,,0,总账,手工录入,已审核,未作废
2,,,,,,车位标识画线/指示牌安装/清远荣晟,2221.01.01.01,应交税费_应交增值税_进项税额_增值税发票,人民币,¥359.10,¥359.10,,,,,,,,,,
3,,,,,,车位标识画线/指示牌安装/清远荣晟,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥4,349.10",,"¥4,349.10",,,,,,,,,
1,2024/1/19,"2,024",1,记,42,收到货款/上海华魄贸易有限公司,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥49,947.50","¥49,947.50",,方晓淮,梁映婵,梁映婵,,0,出纳管理,收款单,已审核,未作废
2,,,,,,收到货款/上海华魄贸易有限公司,1122,应收账款,人民币,"¥49,947.50",,"¥49,947.50",,,,,,,,,
1,2024/1/19,"2,024",1,记,43,裁切刀研磨费/发票号2689720/东莞市锐通,5101.03,制造费用_维修费,人民币,"¥9,823.01","¥9,823.01",,方晓淮,梁映婵,梁映婵,,0,发票管理,进项费用增值税发票,已审核,未作废
2,,,,,,裁切刀研磨费/发票号2689720/东莞市锐通,5101.03,制造费用_维修费,人民币,¥995.57,¥995.57,,,,,,,,,,
3,,,,,,裁切刀研磨费/发票号2689720/东莞市锐通,2221.01.01.01,应交税费_应交增值税_进项税额_增值税发票,人民币,"¥1,406.42","¥1,406.42",,,,,,,,,,
4,,,,,,裁切刀研磨费/发票号2689720/东莞市锐通,2202.07,应付账款_低值易耗品供应商,人民币,"¥12,225.00",,"¥12,225.00",,,,,,,,,
1,2024/1/19,"2,024",1,记,44,付裁切刀研磨费/发票号2689720/东莞锐通,2202.07,应付账款_低值易耗品供应商,人民币,"¥12,225.00","¥12,225.00",,方晓淮,梁映婵,梁映婵,,0,出纳管理,付款单,已审核,未作废
2,,,,,,付裁切刀研磨费/发票号2689720/东莞锐通,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥12,225.00",,"¥12,225.00",,,,,,,,,
1,2024/1/22,"2,024",1,记,45,钟煜林购配件/21007185/装备部-设备组,5101.14,制造费用_备品备件,人民币,¥459.00,¥459.00,,梁映婵,梁映婵,梁映婵,,0,总账,手工录入,已审核,未作废
2,,,,,,钟煜林购配件/21007185/装备部-设备组,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,¥459.00,,¥459.00,,,,,,,,,
1,2024/1/22,"2,024",1,记,46,钟煜林报餐费/21007184/装备部-设备组,5101.01,制造费用_业务招待费,人民币,"¥2,206.00","¥2,206.00",,梁映婵,梁映婵,梁映婵,,0,总账,手工录入,已审核,未作废
2,,,,,,钟煜林报餐费/21007184/装备部-设备组,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥2,206.00",,"¥2,206.00",,,,,,,,,
1,2024/1/22,"2,024",1,记,47,徐子航报业务费/21003908/市场部,6601.02,销售费用_业务招待费,人民币,"¥13,000.00","¥13,000.00",,梁映婵,梁映婵,梁映婵,,0,总账,手工录入,已审核,未作废
2,,,,,,徐子航报业务费/21003908/市场部,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥13,000.00",,"¥13,000.00",,,,,,,,,
1,2024/1/22,"2,024",1,记,48,徐子航报差旅费/2100667/市场部,6601.03,销售费用_差旅费,人民币,"¥1,765.32","¥1,765.32",,梁映婵,梁映婵,梁映婵,,0,总账,手工录入,已审核,未作废
2,,,,,,徐子航报差旅费/2100667/市场部,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥1,765.32",,"¥1,765.32",,,,,,,,,
1,2024/1/22,"2,024",1,记,49,徐子航报业务费/21003907/市场部,6601.02,销售费用_业务招待费,人民币,"¥9,924.00","¥9,924.00",,梁映婵,梁映婵,梁映婵,,0,总账,手工录入,已审核,未作废
2,,,,,,徐子航报业务费/21003907/市场部,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥9,924.00",,"¥9,924.00",,,,,,,,,
1,2024/1/22,"2,024",1,记,50,徐子航报差旅费/2100668/市场部,6601.03,销售费用_差旅费,人民币,"¥1,110.05","¥1,110.05",,梁映婵,梁映婵,梁映婵,,0,总账,手工录入,已审核,未作废
2,,,,,,徐子航报差旅费/2100668/市场部,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥1,110.05",,"¥1,110.05",,,,,,,,,
1,2024/1/22,"2,024",1,记,51,梁映婵报办公费/21007014/财务部,6602.01,管理费用_办公费,人民币,¥80.24,¥80.24,,梁映婵,梁映婵,梁映婵,,0,总账,手工录入,已审核,未作废
2,,,,,,梁映婵报餐费/21007014/财务部,6602.02,管理费用_业务招待费,人民币,¥636.00,¥636.00,,,,,,,,,,
3,,,,,,梁映婵报差旅费/21007014/财务部,6602.03,管理费用_差旅费,人民币,¥250.00,¥250.00,,,,,,,,,,
4,,,,,,梁映婵报办公费、餐费、差旅费/21007014/财务部,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,¥966.24,,¥966.24,,,,,,,,,
1,2024/1/22,"2,024",1,记,52,徐子航报业务费/21003909/市场部,6601.02,销售费用_业务招待费,人民币,"¥10,283.34","¥10,283.34",,梁映婵,梁映婵,梁映婵,,0,总账,手工录入,已审核,未作废
2,,,,,,徐子航报业务费/21003909/市场部,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥10,283.34",,"¥10,283.34",,,,,,,,,
1,2024/1/22,"2,024",1,记,53,徐子航报差旅费/2100672/市场部,6601.03,销售费用_差旅费,人民币,"¥1,185.30","¥1,185.30",,梁映婵,梁映婵,梁映婵,,0,总账,手工录入,已审核,未作废
2,,,,,,徐子航报差旅费/通行费电子发票号69144300等/市场部,2221.01.08,应交税费_应交增值税_通行费电子发票,人民币,¥39.55,¥39.55,,,,,,,,,,
3,,,,,,徐子航报差旅费/2100672/市场部,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥1,224.85",,"¥1,224.85",,,,,,,,,
1,2024/1/22,"2,024",1,记,54,徐子航报差旅费/2100674/市场部,6601.03,销售费用_差旅费,人民币,"¥5,776.53","¥5,776.53",,梁映婵,梁映婵,梁映婵,,0,总账,手工录入,已审核,未作废
2,,,,,,徐子航报住宿费/发票号07376525/市场部,2221.01.01.01,应交税费_应交增值税_进项税额_增值税发票,人民币,¥12.40,¥12.40,,,,,,,,,,
3,,,,,,徐子航报住宿费/发票号12236058/市场部,2221.01.01.01,应交税费_应交增值税_进项税额_增值税发票,人民币,¥37.81,¥37.81,,,,,,,,,,
4,,,,,,徐子航报住宿费/发票号09499759/市场部,2221.01.01.01,应交税费_应交增值税_进项税额_增值税发票,人民币,¥16.42,¥16.42,,,,,,,,,,
5,,,,,,徐子航报住宿费/发票号31034397/市场部,2221.01.01.01,应交税费_应交增值税_进项税额_增值税发票,人民币,¥2.69,¥2.69,,,,,,,,,,
6,,,,,,徐子航报住宿费/发票号23769073/市场部,2221.01.01.01,应交税费_应交增值税_进项税额_增值税发票,人民币,¥1.64,¥1.64,,,,,,,,,,
7,,,,,,徐子航报住宿费/发票号287457022/市场部,2221.01.01.01,应交税费_应交增值税_进项税额_增值税发票,人民币,¥1.39,¥1.39,,,,,,,,,,
8,,,,,,徐子航报住宿费/发票号19011921/市场部,2221.01.01.01,应交税费_应交增值税_进项税额_增值税发票,人民币,¥15.40,¥15.40,,,,,,,,,,
9,,,,,,徐子航报差旅费/2100674/市场部/通行费,2221.01.01.04.01,应交税费_应交增值税_进项税额_国内旅客运输服务_国内旅客运输服务（3%税率）,人民币,¥0.67,¥0.67,,,,,,,,,,
10,,,,,,徐子航报差旅费/2100674/市场部/滴滴,2221.01.01.04.01,应交税费_应交增值税_进项税额_国内旅客运输服务_国内旅客运输服务（3%税率）,人民币,¥43.71,¥43.71,,,,,,,,,,
11,,,,,,徐子航报差旅费/2100674/市场部,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥5,908.66",,"¥5,908.66",,,,,,,,,
1,2024/1/22,"2,024",1,记,55,徐子航报差旅费/2100669/市场部,6601.03,销售费用_差旅费,人民币,"¥1,407.77","¥1,407.77",,梁映婵,梁映婵,梁映婵,,0,总账,手工录入,已审核,未作废
2,,,,,,徐子航报差旅费/2100669/市场部/滴滴,2221.01.01.04.01,应交税费_应交增值税_进项税额_国内旅客运输服务_国内旅客运输服务（3%税率）,人民币,¥30.17,¥30.17,,,,,,,,,,
3,,,,,,徐子航报差旅费/2100669/市场部,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥1,437.94",,"¥1,437.94",,,,,,,,,
1,2024/1/22,"2,024",1,记,56,徐子航报差旅费/2100670/市场部,6601.03,销售费用_差旅费,人民币,"¥4,056.31","¥4,056.31",,梁映婵,梁映婵,梁映婵,,0,总账,手工录入,已审核,未作废
2,,,,,,徐子航报差旅费/发票号27702729/市场部,2221.01.01.01,应交税费_应交增值税_进项税额_增值税发票,人民币,¥19.36,¥19.36,,,,,,,,,,
3,,,,,,徐子航报差旅费/发票号37401876/市场部,2221.01.01.01,应交税费_应交增值税_进项税额_增值税发票,人民币,¥11.89,¥11.89,,,,,,,,,,
